"Voucher No.","Date","Amount","Why it is flagged","Recommended action"
"EXP/25/071","2025-06-30","IDR 30000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/072","2025-06-30","USD 5.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/072","2025-06-30","USD 5.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/072","2025-06-30","USD 5.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"JV/25-26/053","2025-06-30","USD 5.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JV/25-26/054","2025-06-30","IDR 30000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"FT2601-0019","2025-07-01","USD 900.00","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry"
"EXP/25/073","2025-07-15","IDR 8000000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/076","2025-07-20","IDR 823500.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/077","2025-07-31","IDR 5850000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/079","2025-07-31","IDR 3500000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/082","2025-07-31","IDR 3500000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/084","2025-07-31","IDR 30000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/085","2025-07-31","IDR 623000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/086","2025-07-31","USD 5.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/086","2025-07-31","USD 5.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/086","2025-07-31","USD 5.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"JV/25-26/081","2025-07-31","USD 5.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JV/25-26/082","2025-07-31","IDR 623000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JV/25-26/083","2025-07-31","IDR 30000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/087","2025-08-01","IDR 75000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"FT2601-0015","2025-08-01","USD 950.00","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry"
"JV/25-26/087","2025-08-01","IDR 3500000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JV/25-26/090","2025-08-01","IDR 75000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/088","2025-08-16","IDR 8000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"FT2601-0016","2025-08-16","USD 500.00","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry"
"JV/25-26/093","2025-08-16","IDR 8000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/091","2025-08-19","IDR 5000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"FT2601-0017","2025-08-19","USD 350.00","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry"
"JV/25-26/095","2025-08-19","IDR 5000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/092","2025-08-21","IDR 812000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JV/25-26/097","2025-08-21","IDR 812000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/093","2025-08-27","IDR 5000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"FT2601-0018","2025-08-27","USD 500.00","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry"
"JV/25-26/099","2025-08-27","IDR 5000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/095","2025-08-31","IDR 3500000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/100","2025-08-31","IDR 7000000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/101","2025-08-31","USD 5.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/101","2025-08-31","USD 5.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/101","2025-08-31","USD 5.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"EXP/25/102","2025-08-31","IDR 30000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JV/25-26/103","2025-08-31","IDR 30000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JV/25-26/104","2025-08-31","USD 5.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"FT2601-0005","2025-09-01","USD 750.00","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry"
"EXP/25/103","2025-09-05","IDR 150000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/107","2025-09-11","IDR 2500.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/108","2025-09-11","IDR 145000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JV/25-26/119","2025-09-11","IDR 145000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JV/25-26/120","2025-09-11","IDR 2500.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/110","2025-09-13","IDR 5000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JV/25-26/123","2025-09-13","IDR 5000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/111","2025-09-15","IDR 776500.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/112","2025-09-15","IDR 369300.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/113","2025-09-15","IDR 8000000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/115","2025-09-15","IDR 150000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JV/25-26/126","2025-09-15","IDR 150000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/116","2025-09-16","IDR 170811.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/117","2025-09-17","IDR 1000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JV/25-26/134","2025-09-17","IDR 1000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/118","2025-09-18","IDR 900000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"JV/25-26/129","2025-09-18","IDR 369300.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JV/25-26/133","2025-09-18","IDR 170811.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/120","2025-09-23","IDR 50000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JV/25-26/139","2025-09-23","IDR 50000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25-25/001","2025-09-30","USD 5.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25-25/001","2025-09-30","USD 5.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"EXP/25/121","2025-09-30","IDR 7000000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/122","2025-09-30","IDR 1000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/126","2025-09-30","IDR 30000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/127","2025-09-30","USD 5.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/127","2025-09-30","USD 5.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/127","2025-09-30","USD 5.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"JE2509-0024","2025-09-30","IDR 30000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2509-0025","2025-09-30","USD 5.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/128","2025-10-01","IDR 413000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/130","2025-10-01","IDR 776500.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/131","2025-10-01","IDR 4500000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2509-0020","2025-10-01","IDR 1000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0001","2025-10-01","IDR 413000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0003","2025-10-01","IDR 776500.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0004","2025-10-01","IDR 4500000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/132","2025-10-07","IDR 1000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2510-0005","2025-10-07","IDR 1000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/133","2025-10-09","IDR 1000000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/134","2025-10-09","IDR 275000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/137","2025-10-10","IDR 240000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/138","2025-10-10","IDR 2500.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2510-0010","2025-10-10","IDR 240000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0011","2025-10-10","IDR 2500.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/139","2025-10-13","IDR 275000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/140","2025-10-13","IDR 165000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2510-0007","2025-10-13","IDR 275000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0012","2025-10-13","IDR 165000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/142","2025-10-14","IDR 2500.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2510-0015","2025-10-14","IDR 2500.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"c4c2bb7e-d17f-4009-a579-1a1ac569b1f9","2025-10-15","IDR 5200000.00","Linked document has no provable active journal","Post or identify the correct source document journal"
"EXP/25/143","2025-10-15","IDR 8000000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/26-26/085","2025-10-15","IDR 4684685.00","Approved expense has no active journal","Accountant-authorised posting through the native Expense workflow"
"EXP/25/144","2025-10-17","IDR 145000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/145","2025-10-17","IDR 380000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/146","2025-10-17","IDR 2500.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2510-0018","2025-10-17","IDR 145000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0019","2025-10-17","IDR 380000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0020","2025-10-17","IDR 2500.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/147","2025-10-20","IDR 369300.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/148","2025-10-20","IDR 200633.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/149","2025-10-20","IDR 776500.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2510-0021","2025-10-20","IDR 776500.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0022","2025-10-20","IDR 369300.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0023","2025-10-20","IDR 200633.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/150","2025-10-21","IDR 12000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/151","2025-10-21","IDR 196000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/152","2025-10-21","IDR 180000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/153","2025-10-21","IDR 2500.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2510-0024","2025-10-21","IDR 12000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0025","2025-10-21","IDR 196000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0027","2025-10-21","IDR 2500.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0026","2025-10-22","IDR 180000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/154","2025-10-23","IDR 680000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2510-0028","2025-10-23","IDR 680000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/155","2025-10-24","IDR 4000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/156","2025-10-24","IDR 285000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2510-0029","2025-10-24","IDR 4000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0030","2025-10-24","IDR 285000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/157","2025-10-25","IDR 180000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2510-0059","2025-10-25","IDR 180000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/158","2025-10-27","IDR 145000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/159","2025-10-27","IDR 600000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2510-0031","2025-10-27","IDR 145000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0032","2025-10-27","IDR 600000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/161","2025-10-29","IDR 50000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/162","2025-10-29","IDR 50000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/163","2025-10-29","IDR 50000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/164","2025-10-29","IDR 50000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/165","2025-10-29","IDR 50000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/166","2025-10-29","IDR 50000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/167","2025-10-29","IDR 50000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/168","2025-10-29","IDR 105500.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/169","2025-10-29","IDR 137000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2510-0034","2025-10-29","IDR 50000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0035","2025-10-29","IDR 50000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0036","2025-10-29","IDR 50000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0037","2025-10-29","IDR 50000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
